dataset,repetition,method,group,n,ks_to_marginal
cps_wage,19,CQR-TI,5,1947,0.114625679911852
cps_wage,20,SR-TI,1,1948,0.0697722360592996
cps_wage,20,SR-TI,2,1948,0.0135024129787452
cps_wage,20,SR-TI,3,1948,0.0168135249941332
cps_wage,20,SR-TI,4,1948,0.0146188729115331
cps_wage,20,SR-TI,5,1947,0.0653415205165028
cps_wage,20,ASR-TI,1,1948,0.0673093932332018
cps_wage,20,ASR-TI,2,1948,0.0156572159650238
cps_wage,20,ASR-TI,3,1948,0.0157881487100805
cps_wage,20,ASR-TI,4,1948,0.01626212103035
cps_wage,20,ASR-TI,5,1947,0.0664701033913757
cps_wage,20,CQR-TI,1,1948,0.0579252473121363
cps_wage,20,CQR-TI,2,1948,0.0564850398269579
cps_wage,20,CQR-TI,3,1948,0.0236262972831139
cps_wage,20,CQR-TI,4,1948,0.0359230642563516
cps_wage,20,CQR-TI,5,1947,0.095691223522536
superconductivity,1,SR-TI,1,1418,0.159618559197278
superconductivity,1,SR-TI,2,1418,0.0571874699692664
superconductivity,1,SR-TI,3,1418,0.0681866520390259
superconductivity,1,SR-TI,4,1418,0.0364015764904048
superconductivity,1,SR-TI,5,1417,0.059316107245384
superconductivity,1,ASR-TI,1,1418,0.161170457975277
superconductivity,1,ASR-TI,2,1418,0.0570455110233559
superconductivity,1,ASR-TI,3,1418,0.0677622674116577
superconductivity,1,ASR-TI,4,1418,0.0344272826988554
superconductivity,1,ASR-TI,5,1417,0.0600007187574694
superconductivity,1,CQR-TI,1,1418,0.353512792520485
superconductivity,1,CQR-TI,2,1418,0.192836853059658
superconductivity,1,CQR-TI,3,1418,0.0846475230004331
superconductivity,1,CQR-TI,4,1418,0.237039008965399
superconductivity,1,CQR-TI,5,1417,0.303791007627291
superconductivity,2,SR-TI,1,1418,0.118042196127774
superconductivity,2,SR-TI,2,1418,0.0567289634649204
superconductivity,2,SR-TI,3,1418,0.0460558790999226
superconductivity,2,SR-TI,4,1418,0.0268387961165126
superconductivity,2,SR-TI,5,1417,0.042453380066506
superconductivity,2,ASR-TI,1,1418,0.121427723000393
superconductivity,2,ASR-TI,2,1418,0.0591277413645289
superconductivity,2,ASR-TI,3,1418,0.0433778589009652
superconductivity,2,ASR-TI,4,1418,0.0315148859921439
superconductivity,2,ASR-TI,5,1417,0.0444270761314483
superconductivity,2,CQR-TI,1,1418,0.410081094669606
superconductivity,2,CQR-TI,2,1418,0.215978946702424
superconductivity,2,CQR-TI,3,1418,0.0781616803959968
superconductivity,2,CQR-TI,4,1418,0.246345825521612
superconductivity,2,CQR-TI,5,1417,0.264398419410513
superconductivity,3,SR-TI,1,1418,0.13722664944457
superconductivity,3,SR-TI,2,1418,0.0736657500515807
superconductivity,3,SR-TI,3,1418,0.0424135925640969
superconductivity,3,SR-TI,4,1418,0.0516735537148976
superconductivity,3,SR-TI,5,1417,0.0496193522163464
superconductivity,3,ASR-TI,1,1418,0.138919014958116
superconductivity,3,ASR-TI,2,1418,0.0757806100593681
superconductivity,3,ASR-TI,3,1418,0.0412857799713934
superconductivity,3,ASR-TI,4,1418,0.050121058052753
superconductivity,3,ASR-TI,5,1417,0.0514519846615962
superconductivity,3,CQR-TI,1,1418,0.39526772343015
superconductivity,3,CQR-TI,2,1418,0.203576490006866
superconductivity,3,CQR-TI,3,1418,0.0957055976392039
superconductivity,3,CQR-TI,4,1418,0.237602467598642
superconductivity,3,CQR-TI,5,1417,0.26043868296952
superconductivity,4,SR-TI,1,1418,0.0549357245308043
superconductivity,4,SR-TI,2,1418,0.0460339933479251
superconductivity,4,SR-TI,3,1418,0.018206956048038
superconductivity,4,SR-TI,4,1418,0.0665158738354045
superconductivity,4,SR-TI,5,1417,0.0287339724301757
superconductivity,4,ASR-TI,1,1418,0.0521171381156089
superconductivity,4,ASR-TI,2,1418,0.0456073206646663
superconductivity,4,ASR-TI,3,1418,0.0192001712659574
superconductivity,4,ASR-TI,4,1418,0.0632731017542225
superconductivity,4,ASR-TI,5,1417,0.0267937254663039
superconductivity,4,CQR-TI,1,1418,0.360571146501035
superconductivity,4,CQR-TI,2,1418,0.221058430779644
superconductivity,4,CQR-TI,3,1418,0.0976783992203897
superconductivity,4,CQR-TI,4,1418,0.20995011839197
superconductivity,4,CQR-TI,5,1417,0.282791642065152
superconductivity,5,SR-TI,1,1418,0.0484401328186601
superconductivity,5,SR-TI,2,1418,0.0484301847495703
superconductivity,5,SR-TI,3,1418,0.0407012314316804
superconductivity,5,SR-TI,4,1418,0.0339522623998204
superconductivity,5,SR-TI,5,1417,0.0253241551389218
superconductivity,5,ASR-TI,1,1418,0.0497095064345107
superconductivity,5,ASR-TI,2,1418,0.0482892206105686
superconductivity,5,ASR-TI,3,1418,0.041267575004959
superconductivity,5,ASR-TI,4,1418,0.0338108008573643
superconductivity,5,ASR-TI,5,1417,0.0263116004767692
superconductivity,5,CQR-TI,1,1418,0.386103263742611
superconductivity,5,CQR-TI,2,1418,0.198216768823388
superconductivity,5,CQR-TI,3,1418,0.083236190438672
superconductivity,5,CQR-TI,4,1418,0.231961613982688
superconductivity,5,CQR-TI,5,1417,0.308305441661035
