dataset,repetition,method,group_type,group,n,coverage,mean_width,lower_miss,upper_miss
cps_wage,10,SR-TI,predicted_scale_quintile,1,1948,0.887063655030801,22.3992224797549,0.0636550308008214,0.0492813141683778
cps_wage,10,SR-TI,predicted_scale_quintile,2,1948,0.918891170431212,27.4262606264472,0.0420944558521561,0.0390143737166324
cps_wage,10,SR-TI,predicted_scale_quintile,3,1948,0.924537987679672,32.4551912291749,0.0385010266940452,0.0369609856262834
cps_wage,10,SR-TI,predicted_scale_quintile,4,1948,0.931724845995893,45.7909871292778,0.0308008213552361,0.0374743326488706
cps_wage,10,SR-TI,predicted_scale_quintile,5,1947,0.956343091936312,66.8503386067977,0.0225988700564972,0.0210580380071906
cps_wage,10,ASR-TI,predicted_scale_quintile,1,1948,0.888603696098563,22.331555040388,0.0621149897330596,0.0492813141683778
cps_wage,10,ASR-TI,predicted_scale_quintile,2,1948,0.918891170431212,27.3298992878787,0.0405544147843943,0.0405544147843943
cps_wage,10,ASR-TI,predicted_scale_quintile,3,1948,0.925564681724846,32.3287566003738,0.0374743326488706,0.0369609856262834
cps_wage,10,ASR-TI,predicted_scale_quintile,4,1948,0.931724845995893,45.58836952508,0.0297741273100616,0.0385010266940452
cps_wage,10,ASR-TI,predicted_scale_quintile,5,1947,0.957370313302517,66.424409164476,0.0210580380071906,0.0215716486902928
cps_wage,10,CQR-TI,predicted_scale_quintile,1,1948,0.904004106776181,25.7685154859733,0.0559548254620123,0.040041067761807
cps_wage,10,CQR-TI,predicted_scale_quintile,2,1948,0.927618069815195,28.4919662186548,0.0359342915811088,0.0364476386036961
cps_wage,10,CQR-TI,predicted_scale_quintile,3,1948,0.915297741273101,31.8188817552787,0.0410677618069815,0.0436344969199179
cps_wage,10,CQR-TI,predicted_scale_quintile,4,1948,0.927618069815195,45.0107266094986,0.0318275154004107,0.0405544147843943
cps_wage,10,CQR-TI,predicted_scale_quintile,5,1947,0.916795069337442,50.2189011207901,0.0416024653312789,0.0416024653312789
cps_wage,10,Parametric-TI,predicted_scale_quintile,1,1948,0.958932238193018,36.2103693229244,0.0308008213552361,0.0102669404517454
cps_wage,10,Parametric-TI,predicted_scale_quintile,2,1948,0.967659137577002,39.6267356482705,0.021047227926078,0.0112936344969199
